Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Ministral 3 14B,14B,False,0.025,100.0,329.6794,47.9938,2.2082,True,True,355.6961,356.2901,356.3854
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Gemma 4 26B,26B,False,0.025,100.0,123.0902,0.0757,3.6108,True,True,123.0542,123.174,123.1909
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Qwen 3.6 35B-A3B,35B-A3B,False,0.025,100.0,133.3035,1.6313,2.8755,True,True,132.7033,135.1044,135.3301
