Query ID,Query Text,Name,Parameters,Thinking,Temperature,Valid JSON Rate,Avg IT (s),Std Dev IT (s),Generation Throughput (tokens/s),G_Cypher,G_Sparql,P50 IT (s),P90 IT (s),P95 IT (s)
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Ministral 3 14B,14B,False,0.025,100.0,242.2232,9.6301,2.1107,True,True,247.3632,250.1559,250.2095
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Gemma 4 26B,26B,False,0.025,100.0,132.6451,9.1361,3.4802,True,True,128.7212,140.898,144.9388
Q09,Give me the actors whose father has more money than the top 5 highest-paid directors combined.,Qwen 3.6 35B-A3B,35B-A3B,False,0.025,100.0,140.9537,1.5257,2.831,True,True,141.8578,142.1737,142.2224
